Parcel(s),SFPUC Code,Building Address,Facility,Notes,Department Name,Department Code,Building Category,Facility Type,Year Built,Year Renovated,Building Floor Area (sq.ft.),2019 ENERGY STAR score,2019 Energy Use Intensity (kBtu/sq.ft.),2019 Carbon Intensity (lbs CO2e/sq.ft.)
MUNI-007,504,595 Market St,Montgomery Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART. Building with no gas services.",Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1972,N/A,57000,,46.04086356,0
3735/060,215,255 03rd St,Moscone Center Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1984,N/A,255444,,5.851229242,0
3734/091,104,700-747 Howard St,Moscone Center South/Esplanade,"Adjacent facilities combined for benchmarking, due to shared mechanical systems.",Convention Facilities Department / Moscone Center,CFD,Convention Center,Convention Facility,1981,1992,1296000,,70.29605369,3.092383489
3724/018,1684,800 Howard St,Moscone Center West,,Convention Facilities Department / Moscone Center,CFD,Convention Center,Convention Facility,2002,N/A,775000,,89.5260173,7.352314097
0469/001-B,308,1800 Chestnut St,Moscone Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1924,2008,9650,,98.15661753,5.783217142
0694/004,785,1001 Polk St,Multi-Service Center North,,Human Services Agency,HSA,Health & Human Services,Homeless Service,1913,N/A,37125,,154.254594,13.94052917
3777/047,784,695 Bryant St,Multi-Service Center South,,Human Services Agency,HSA,Health & Human Services,Homeless Service,1924,N/A,25600,,236.303061,21.28236245
1700/001-V,1796,10th Ave & Fulton St,Music Concourse Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,2005,N/A,300000,,4.324683841,0
4032/001,1052,655 De Haro St,New School/SF International High (former Intl Studies Academy),,San Francisco Unified School District,SFUSD,Education,High School,1971,N/A,108400,33,53.81205179,4.402373289
1194/010,1089,2049 Grove St,New Traditions Elementary,,San Francisco Unified School District,SFUSD,Education,K-12 School,1924,N/A,26300,98,10.68005299,0
6539/034,252,451 Jersey St,Noe Valley/Sally Brunn Branch Library,,Public Library,SFPL,Libraries,Library,1916,2008,6096,,95.64335669,7.315145361
2005/002,1104,1775 44th Ave,Noriega CDC,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1951,N/A,14700,,52.97723431,4.615160598
0075/002-A,2041,850 Columbus Ave,North Beach Branch Library,,Public Library,SFPL,Libraries,Library,2013,2013,8500,,71.42934056,4.723610176
0147/029,1921,735 Vallejo St,North Beach Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,2002,N/A,82405,,6.566061826,0
0075/002-B,365,651 Lombard St,North Beach Swimming Pool/Joe DiMaggio Playground,,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,2004,2006,16384,,263.8048901,22.96905933
0039/034,702,111 Bay St,North Point Wet Weather Facility,Corresponding EUIs for these building categories are relative to energy use only (EUIs for these facility types is more typically expressed as a function of water use).,San Francisco Public Utilities Commission,SFPUC,Water and Wastewater Treatment,Wastewater Treatment,1951,N/A,89600,,16.50415199,0.188600576
0755/013,712,1125 Fillmore St,Northern Police Station,,Police Department,SFPD,Public Safety,Police Station,1988,1987,18000,,63.03802889,2.902197831
OUTSIDE-SF-008,1802,04th Ave Between A & B Sts,Oakdale Office/Warehouse,,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Warehouse,N/A,N/A,7800,71,7.862161795,0.0926337083
1779/007-B,184,1351 24th Ave,Ocean Park Health Center (Health Center #5),,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1967,2009,16247,,148.5641467,13.3625741
7118/044,254,345 Randolph St,Ocean View Branch Library,,Public Library,SFPL,Libraries,Library,2000,N/A,4794,,51.05819508,2.1647035
7281/007,169,3500 Great Hwy,Oceanside Water Pollution Control Plant,Corresponding EUIs for these building categories are relative to energy use only (EUIs for these facility types is more typically expressed as a function of water use).,San Francisco Public Utilities Commission,SFPUC,Water and Wastewater Treatment,Wastewater Treatment,1993,N/A,49000,,1756.194667,92.21888555
6934/001,1897,1701 Ocean Ave,OMI Family Center,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1962,N/A,5000,80,52.03634544,4.760101089
3506/001,1886,1 S Van Ness Ave,One South Van Ness (OSVN),,Real Estate Division,RED,Offices,General Office,1959,1989,642416,81,42.08247397,1.016316058
2094/013-A,255,3223 Ortega St,Ortega Branch Library,,Public Library,SFPL,Libraries,Library,2011,N/A,9300,,64.09710486,4.124990041
4830/016,124,1590 Yosemite Ave,Paint Shop and Vehicle Parking,Building with no gas services.,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Other Shops,1958,N/A,35021,,8.413028834,0
0916/002,369,3301 Lyon St,Palace of Fine Arts,,Recreation & Park Department,RPD,Museums and Art,Museum,1915,2003,140000,,19.1423284,0.2057379339
5930/001,373,500 Felton St,Palega Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1928,2012,18397,,64.19221508,4.527931996
1229/031,256,1833 Page St,Park Branch Library,,Public Library,SFPL,Libraries,Library,1909,2011,8060,,42.91765553,1.966089667
1700/001-W,78,1899 Waller St,Park Police Station,,Police Department,SFPD,Public Safety,Police Station,1910,1993,13700,,47.71560061,2.014972125
2351/001-B,257,1200 Taraval St,Parkside Branch Library,,Public Library,SFPL,Libraries,Library,1951,2010,6822,,48.60181325,2.10696984
3639/005,1446,3070 23rd St,Parque Ninos Unidos Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2004,N/A,2414,,30.75473753,1.766216577
5702/007,1046,555 Tompkins Ave,Paul Revere Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1928,1968,56400,41,36.755914,2.563113507
2615/002-B,371,2475 15th St,Peixotto Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1955,N/A,2000,,20.9746738,1.68027796
0792/029,231,360 Grove St,Performing Arts Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1983,N/A,209896,,5.846754667,0
6126/016,1051,400 Mansell St,Philip and Sala Burton High,,San Francisco Unified School District,SFUSD,Education,High School,1963,N/A,230000,71,35.52436314,2.799588754
2500A/001,1699,34th Ave & Crestlake Dr,Pine Lake Park Clubhouse,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1950,N/A,1242,,3.750452818,0
2370/074-A,820,2340 42nd Ave,Playmates Nursery,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1954,N/A,3000,,26.7153336,1.335602558
0669/012,1235,1230 Polk St,Polk Bush Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1993,N/A,70160,,4.437214572,0
5304/015,434,900 Quint St,"Pollution Control, Bayside (former Asphalt Plant)",,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Warehouse,N/A,N/A,13268,,0.1862490512,0.005309061
5983/005,1915,380 Bacon St,Portola Branch Library,,Public Library,SFPL,Libraries,Library,2009,N/A,6427,,56.68971078,2.74603534
0209/017,232,733 Kearny St,Portsmouth Square Garage,Building with no gas services.,Recreation & Park Department,RPD,Parking Garages,Parking Garage,1962,N/A,225480,,7.808674025,0
4068/009A,259,1616 20th St,Potrero Branch Library,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",Public Library,SFPL,Libraries,Library,1951,2010,5428,,58.16516087,2.069486553
3971/001,553,2500 Mariposa St,Potrero Division - Trolley Coach,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1914,1990,101510,,51.2269645,2.745311713
4219/051,757,1050 Wisconsin St,Potrero Hill Health Center,,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1976,2012,8000,,79.64661875,5.250385955
4163/001,375,801 Arkansas St,Potrero Hill Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1950,N/A,18805,,31.41186746,1.608473465
MUNI-003,554,891 Market St,Powell Station,"The square footage and energy use listed for these shared stations represents the Muni portion only, excluding BART.  Building with no gas services.",Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1972,N/A,59000,,42.25436414,0
1006/012,260,3150 Sacramento St,Presidio Branch Library,,Public Library,SFPL,Libraries,Library,1921,2011,10205,,41.91027069,2.266046148
1300/001-C,2081,387 Moraga Ave,Presidio CDC,,San Francisco Unified School District,SFUSD,Education,Childcare/Nursery School,1985,N/A,19170,,52.22331768,6.110702626
1072/001,515,2640 Geary Blvd,Presidio Division - Trolley Coach,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1912,N/A,158381,,39.71263691,2.494654927
1009/024,377,3437 Clay St,Presidio Heights Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1910,N/A,958,,5.94542881,0.5859099864
1461/001,1100,450 30th Ave,Presidio Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1930,N/A,140000,86,40.12703216,4.405829809
3779/031,715,555 7th St,Public Defender's Office,,Real Estate Division,RED,Offices,General Office,1985,N/A,51816,59,67.83665259,1.449356456
OUTSIDE-SF-009,1719,66 Canada Rd,Pulgas Dechloramination Facility,Corresponding EUIs for these building categories are relative to energy use only (EUIs for these facility types is more typically expressed as a function of water use).,San Francisco Public Utilities Commission,SFPUC,Water and Wastewater Treatment,Water Treatment,N/A,N/A,8000,,216.9570954,0
2615/002-A,378,199 Museum Way,Randall Museum,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Recreation & Park Department,RPD,Museums and Art,Art/Cultural Center,1951,N/A,32030,,108.9495441,10.0570644
1105/001,1088,40 Vega St,Raoul Wallenberg High,,San Francisco Unified School District,SFUSD,Education,High School,1952,N/A,62840,41,48.67455481,4.062011541
0668/001,1071,1421 Pine St,Redding Elementary,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1917,N/A,26100,6,68.79157148,5.686559756
3514/003,2012,110 12th St,ReproMail,,Real Estate Division,RED,"Service, Repair, and Storage",Other Shops,1935,N/A,10469,,63.16167267,0.9593247818
1378/007,380,149 18th Ave,Richmond Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1916,N/A,1200,,20.01475167,1.682033125
1538/007,84,451 06th Ave,Richmond Police Station,,Police Department,SFPD,Public Safety,Police Station,1910,1993,13000,,66.51886975,3.844648429
1415/004,1439,251 18th Ave,Richmond Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,2000,N/A,18470,,90.58068728,6.767569071
1441/007,261,351 09th Ave,Richmond/Milton Marks Branch Library,,Public Library,SFPL,Libraries,Library,1914,2009,13900,,92.79004066,4.72659621
2154/001,1106,2051 34th Ave,Robert Louis Stevenson Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1953,N/A,47500,74,61.97903023,6.014764469
1384/006,381,250 25th Ave,Rochambeau Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2004,N/A,1482,,37.66407233,1.117920883
OUTSIDE-SF-011,1801,9855 Rock River Rd,Rock River Lime Facility,Corresponding EUIs for these building categories are relative to energy use only (EUIs for these facility types is more typically expressed as a function of water use).,San Francisco Public Utilities Commission,SFPUC,Water and Wastewater Treatment,Water Treatment,N/A,N/A,2040,,198.3348769,0
2718/002,1264,500 Corbett Ave,Rooftop Alternative (5-8 Mayeda Campus),,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1997,N/A,21000,23,34.35587971,1.229802326
2756/024,1117,445 Burnett Ave,Rooftop Alternative (K-4 Burnett Campus),,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1952,N/A,23300,77,28.83222098,2.493258335
1061/049,1097,460 Arguello Blvd,Roosevelt Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1930,N/A,121000,72,30.45131577,2.612100377
0723/042,1083,1501 OFarrell St,Rosa Parks Elementary / Raphael Weill CDC,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1927,1964,66900,65,34.27244838,2.666997267
1140A/001,382,600 Arguello Blvd,Rossi Swimming Pool and Playground,"This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019. Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,1958,N/A,15162,,212.5439292,21.78966155
3591/009,200,755 S Van Ness Ave,S Van Ness Mental Health / Mission Family Center,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1958,N/A,14700,52,55.3616981,2.622511027
OUTSIDE-SF-012,663,Calaveras Road,San Antonio Pump Station / Sunol WTP,Corresponding EUIs for these building categories are relative to energy use only (EUIs for these facility types is more typically expressed as a function of water use).,San Francisco Public Utilities Commission,SFPUC,Water and Wastewater Treatment,Water Treatment,N/A,N/A,51202,,487.5828832,0
3779/009,2197,564 6th Street,San Francisco Adult Probation Office,,Adult Probation Office,ADP,Offices,General Office,1929,N/A,18400,73,39.08123807,1.092227733
3755/010,186,356 07th St,San Francisco City Clinic,,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1930,N/A,8000,,101.8746852,7.074909225
OUTSIDE-SF-013,92,1 Moreland Dr,"San Francisco County Jail, San Bruno Facility",,Sheriff’s Department,SHF,Public Safety,Jail / Correctional,1934,2006,348202,,92.76186657,5.896785075
4154/001,192,2401 22nd St,San Francisco General Hospital,,Department of Public Health,DPH,Hospitals,Hospital,1915,1976,1510904,10,308.322105,22.54436845
OUTSIDE-SF-017,485,7th Ave & Angus Ave E,San Francisco International Airport,Represents the entirety of all electric and gas data including Airport tenants’ usage.  A significant portion of the Airport is in operation 24 hours per day.,San Francisco International Airport,SFO,Airport,Airport Campus,1954,N/A,15654508,,124.155945,6.536823675
6962/006,1019,300 Seneca Ave,San Miguel CDC,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1929,1953,52545,,27.8477345,1.623465551
3565/001-B,1043,325 Sanchez St,Sanchez Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1927,N/A,50500,77,33.83580787,3.036243367
7283/004-B,1704,99 Harding Park Rd,Sandy Tatum Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2005,N/A,20000,,301.5888087,22.26808726
7560/003,1116,555 Portola Dr,School of the Arts / Academy of Arts and Sciences,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,High School,1970,N/A,209500,54,37.33706688,2.365501358
3925/002-B,744,1849 Harrison St,Scott Division,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1990,N/A,116144,,23.85619146,1.099932012
5084/017,1809,100 Blanken Ave,SE Child/Family Therapy Center,"Not qualified for ENERGY STAR rating, due to small size.",Department of Public Health,DPH,Health & Human Services,Mental Health Center,1939,1998,3000,,23.96369667,1.455577836
5802/042,195,3911 Mission St,SE Mission Geriatric Services,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,N/A,N/A,1500,,80.9548896,3.877588525
5501/051,1343,3119 Mission St,Seneca First Stop Visit Cntr/Workforce Development,,Human Services Agency,HSA,Offices,General Office,1947,N/A,8100,60,36.03803812,2.003156091
6012/005,1023,115 Excelsior Ave,SF Community School,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1911,N/A,66900,84,25.63527286,2.22048399
4213/001,1214,2500 24th St,SF General Hospital Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1996,N/A,300000,,8.426910969,0
0588/004,125,2340 Jackson St,SF Public Montessori Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1924,N/A,64500,,33.09004369,3.237676229
7281/006,409,2501 Sloat Blvd,SF Zoo,,Recreation & Park Department,RPD,Recreation Facilities,Other Recreational Buildings,1930,N/A,65799,,315.122653,18.11688414
4279/001,8,2501 25th St,SFFD - Bureau of Equipment,,Fire Department,SFFD,"Service, Repair, and Storage",Other Shops,1918,N/A,7000,,37.70658023,1.009303454
3788/006,1378,698 02nd St,SFFD - Headquarters,,Fire Department,SFFD,Offices,General Office,1912,1999,50000,72,54.90429477,1.443852079
7521/005,80,350 Amber Dr,SFPD Academy,,Police Department,SFPD,Education,College / Adult Education,1966,N/A,19332,,131.7757242,10.88254959
4591A/007,1426,Manseau St & H St,SFPD Building 606 Crime Lab,Annual propane use at this site unknown. Building with no gas services.,Police Department,SFPD,Public Safety,Police Station,1986,N/A,56325,,123.454453,0
7282/005-B,79,700 John Muir Dr,SFPD Pistol Range,,Police Department,SFPD,Recreation Facilities,Other Recreational Buildings,1942,1989,10000,,60.62921972,1.140073276
1700/001-X,81,36th Ave & JFK Jr Dr,SFPD Stables,,Police Department,SFPD,Recreation Facilities,Other Recreational Buildings,1935,N/A,11800,,53.10847458,4.810163551
3955/002,1924,1700 17th St,SFPD Tactical Company,,Police Department,SFPD,Public Safety,Police Station,1941,2009,52125,,70.00528638,3.113666638
0766/001,1992,525 Golden Gate Ave,SFPUC - 525 Golden Gate Ave,,San Francisco Public Utilities Commission,SFPUC,Offices,General Office,2012,N/A,280011,86,49.07393973,1.134865997
0668/003,2039,1340 Bush St,SFUSD -- 1340 Bush Garage,Building with no gas services.,San Francisco Unified School District,SFUSD,Parking Garages,Parking Garage,1969,N/A,13316,,4.641585792,0
2370/074-B,1815,3045 Santiago St,SFUSD - 3045 Santiago Admin Building,,San Francisco Unified School District,SFUSD,Offices,General Office,1954,N/A,15334,67,95.82297694,9.348250992
0785/030,1402,555 Franklin St,SFUSD - Administration - Franklin,,San Francisco Unified School District,SFUSD,Offices,General Office,1976,N/A,78028,12,133.7292347,5.766413141
0815/001,1066,135 Van Ness Ave,SFUSD - Administration - Van Ness,,San Francisco Unified School District,SFUSD,Offices,General Office,1927,N/A,241956,100,24.51806201,2.27861416
5588A/001,1032,834 Toland St,SFUSD - Buildings and Grounds,,San Francisco Unified School District,SFUSD,"Service, Repair, and Storage",Other Shops,1968,N/A,40000,,47.62869068,2.970868336
1067/044,717,20 Cook St,SFUSD - Children's Center Administration Building,,San Francisco Unified School District,SFUSD,Offices,General Office,1930,N/A,20000,89,44.50249956,4.034258454
4107/006,1132,1060 Tennessee St,SFUSD - Irving M Scott Building,,San Francisco Unified School District,SFUSD,Offices,General Office,1895,N/A,12300,93,35.73592595,3.067219807
0092/006,428,940 Filbert St,SFUSD -- Sarah Cooper Childcare Center,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1900,1925,37500,,95.53779794,10.00789779
2193/001,1703,1515 Quintara St,SFUSD - School Health Programs,,San Francisco Unified School District,SFUSD,Offices,General Office,1950,N/A,13900,67,50.45375485,2.674736771
0758/027,419,1015 Laguna St,SFUSD - SPEd Medical Therapy Unit (Laguna),,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1972,N/A,12400,,11.68827287,0.5504895731
0739/013,77,841 Ellis St,SFUSD - Student Nutrition Services,,San Francisco Unified School District,SFUSD,Offices,General Office,1932,N/A,9900,88,35.90823572,2.470894103
5589A/003,1031,801 Toland St,SFUSD - Warehouse/Transportation,,San Francisco Unified School District,SFUSD,"Service, Repair, and Storage",Warehouse,1946,N/A,132000,60,13.5022223,0
7105/001,1004,431 Capitol Ave,Sheridan Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1975,N/A,46335,65,30.2904465,2.319378481
3760/131,1797,70 Oak Grove St,Sheriff Community Programs / Five Keys Adult School,,Sheriff’s Department,SHF,Education,College / Adult Education,1959,2004,10842,,64.17598163,2.669959631
3530/002,1404,120 14th St,Sheriff Training Facility,,Sheriff’s Department,SHF,Offices,General Office,1963,2002,25457,4,128.028357,8.616300269
0545/001,1077,1651 Union St,Sherman Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1928,N/A,56200,44,48.03083415,4.989933887
4714/007,1908,1030 Oakdale Ave,Shorey Childrens Center,,Human Services Agency,HSA,Education,Childcare / Teen Center / Family Center,1971,N/A,9700,,8.178570969,0.2701144652
2488/001-A,385,19th Ave & Sloat Blvd,Sigmund Stern Grove / Trocadero Clubhouse,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1930,2005,12832,,32.48000034,1.135732548
5881/023,179,1525 Silver Ave,Silver Avenue Health Center (Health Center #3),,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1967,2005,22950,,43.46160851,2.472766186
5396/011,386,203 Waterville St,Silver Terrace Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1953,N/A,7842,,40.24197633,0.4038386528
3569/088-B,706,50 Hoff St,Sixteenth & Hoff Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1996,N/A,17284,,10.06701875,0
3728/089,832,1235 Mission St,Social Services -- 1235 Mission,,Human Services Agency,HSA,Offices,General Office,1935,N/A,124219,84,41.49817511,0.3683069091
4720/006,1910,1 Cashmere St,Sojourner Truth Child Center,,Human Services Agency,HSA,Education,Childcare / Teen Center / Family Center,1971,N/A,5184,,37.78142616,2.828104407
3781/008,3,934 Brannan St,SOMArts Cultural Center,,Arts Commission,SFAC,Museums and Art,Art/Cultural Center,1906,N/A,17844,,36.2024743,1.552376163
OUTSIDE-SF-014,1708,Groveland,South Forks Maintenance Yard,Building with no gas services.,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,N/A,N/A,2900,,37.18491724,0
3751/150,1285,760 Harrison St,South of Market Mental Health Services,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1956,1998,13000,6,88.26738206,2.901438188
2456/001,388,2601 40th Ave,South Sunset Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1949,N/A,1500,,281.2837277,6.186917621
5313/002,721,1800 Oakdale Ave,Southeast Community Facility and Greenhouses,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Public Utilities Commission,SFPUC,Education,College / Adult Education,1986,N/A,193400,,26.78404737,1.437285923
4849/016,175,2401 Keith St,Southeast Health Center,,Department of Public Health,DPH,Health & Human Services,Medical Clinic,1979,2012,14604,,102.981332,6.209603269
5280/001,170,750 Phelps St,Southeast Water Pollution Control Plant,Corresponding EUIs for these building categories are relative to energy use only (EUIs for these facility types is more typically expressed as a function of water use).,San Francisco Public Utilities Commission,SFPUC,Water and Wastewater Treatment,Wastewater Treatment,1951,1982,524593,,215.7132196,0.3414578661
0186/007,1072,1451 Jackson St,Spring Valley Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1912,N/A,50400,77,25.18198667,1.841177372
0258/003,716,433 Kearny St,St Mary's Square Parking Garage,Building with no gas services.,Recreation & Park Department,RPD,Parking Garages,Parking Garage,1952,N/A,245445,,7.775699793,0
5801/002,392,Murray St & Justin Dr,St. Mary's Rec Center and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1949,N/A,23307,,57.0625813,4.607252273
4219/055,1130,1215 Carolina St,Starr King Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1955,N/A,49900,78,25.68661038,2.000339391
3777/052,756,639 Bryant St,Streetlight Warehouse,Building with no gas services.,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Warehouse,1988,N/A,6400,27,12.20914894,0
3064/051,397,200 Melrose Ave,Sunnyside Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1969,N/A,4412,,22.05277942,1.325603085
6770/057,730,236 Monterey Blvd,Sunnyside Conservatory,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1900,2009,1536,,27.80135807,0
3121/019,1008,250 Foerster St,Sunnyside Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1927,N/A,41902,86,29.46274541,2.503513762
OUTSIDE-SF-015,585,505 Paloma Way,Sunol Yard,,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,N/A,N/A,12095,,68.61464364,5.860388792
1773/001-B,262,1305 18th Ave,Sunset Branch Library,,Public Library,SFPL,Libraries,Library,1918,2007,9434,,71.14246474,4.276482902
2094/011,1107,1920 41st Ave,Sunset Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1951,N/A,40150,35,46.62723859,4.160984019
2094/014,183,1990 41st Ave,Sunset Mental Health Services,,Department of Public Health,DPH,Health & Human Services,Mental Health Center,1949,1972,5500,59,49.21213593,2.740291246
1915/001,398,2201 Lawton St,Sunset Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1940,2012,16424,,49.78550906,2.542517086
4849/017,1964,1508 Bancroft Ave,Sustainable Streets Division,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Other Shops,1999,N/A,90000,,12.23865251,0.2710013764
1421/006,1094,235 12th Ave,Sutro Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1976,N/A,32860,53,31.12583858,1.996241488
0286/024,233,330 Sutter St,Sutter Stockton Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1959,N/A,717970,,6.431677265,0
2353/002,87,2345 24th Ave,Taraval Police Station,,Police Department,SFPD,Public Safety,Police Station,1929,1994,18070,,89.75036773,6.843751283
4343/031,1892,140 Napoleon St,Temp Sewer Operations Office,Building with no gas services.,San Francisco Public Utilities Commission,SFPUC,Offices,General Office,2000,N/A,2500,,79.3481072,0
0763/014,1384,627 Turk St,Tenderloin Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1998,N/A,61569,57,28.04870498,1.603031315
0338/023,791,301 Eddy St,Tenderloin Police Station,,Police Department,SFPD,Public Safety,Police Station,2000,N/A,27500,,33.18634153,0.6723069115
0322/006,1172,570 Ellis St,Tenderloin Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1995,N/A,10133,,61.69764109,4.268701698
3620/076,416,990 Church St,Theresa Mahler CDC,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1943,N/A,5339,,39.06325102,1.989997902
5379/053,1033,45 Conkling St,Thurgood Marshall High,,San Francisco Unified School District,SFUSD,Education,High School,1957,N/A,149796,80,28.72191288,2.04864861
0509/003,1131,2110 Greenwich St,Tule Elk Park CDC,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,1923,N/A,32000,,10.22823249,0.7536788208
2455/001,1109,2650 42nd Ave,Ulloa Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1952,N/A,53000,60,38.95556635,3.345278257
0308/001,1476,333 Post St,Union Square Garage,Building with no gas services.,Recreation & Park Department,RPD,Parking Garages,Parking Garage,1941,N/A,423780,,8.007972373,0
6638/007,400,350 30th St,Upper Noe Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1950,2006,16447,,66.96930562,4.926350209
0130/043-B,234,766 Vallejo St,Vallejo Street Garage,Building with no gas services.,Municipal Transportation Agency,SFMTA,Parking Garages,Parking Garage,1969,N/A,62760,,9.201597508,0
MUNI-004,549,1590 Market St,Van Ness Station,Building with no gas services.,Municipal Transportation Agency,SFMTA,Transit Stations,Transit Station,1972,N/A,42000,,37.93451039,0
